,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,I'm Still Standing,Elton John,5fwP61Nmo5xXYIjO9XEWqb,https://open.spotify.com/track/5fwP61Nmo5xXYIjO9XEWqb,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,audio_features,spotify:track:5fwP61Nmo5xXYIjO9XEWqb,https://api.spotify.com/v1/tracks/5fwP61Nmo5xXYIjO9XEWqb,https://api.spotify.com/v1/audio-analysis/5fwP61Nmo5xXYIjO9XEWqb,183440,4
1,Le Freak,CHIC,28NBmftocOzTPEb6OYA9fW,https://open.spotify.com/track/28NBmftocOzTPEb6OYA9fW,0.867,0.746,7,-7.445,1,0.0475,0.0453,0.0,0.123,0.933,118.616,audio_features,spotify:track:28NBmftocOzTPEb6OYA9fW,https://api.spotify.com/v1/tracks/28NBmftocOzTPEb6OYA9fW,https://api.spotify.com/v1/audio-analysis/28NBmftocOzTPEb6OYA9fW,327573,4
2,I Feel Love,Donna Summer,6efRrfjV1YW1rtecLUHoP1,https://open.spotify.com/track/6efRrfjV1YW1rtecLUHoP1,0.69,0.675,0,-16.247,1,0.0433,0.0127,0.648,0.0987,0.94,128.1,audio_features,spotify:track:6efRrfjV1YW1rtecLUHoP1,https://api.spotify.com/v1/tracks/6efRrfjV1YW1rtecLUHoP1,https://api.spotify.com/v1/audio-analysis/6efRrfjV1YW1rtecLUHoP1,493600,4
3,Blueprint,Rainbirds,1RuzwWdidBXXMVpwoBBIL1,https://open.spotify.com/track/1RuzwWdidBXXMVpwoBBIL1,0.475,0.757,0,-12.237,0,0.0451,0.408,0.002,0.147,0.715,194.193,audio_features,spotify:track:1RuzwWdidBXXMVpwoBBIL1,https://api.spotify.com/v1/tracks/1RuzwWdidBXXMVpwoBBIL1,https://api.spotify.com/v1/audio-analysis/1RuzwWdidBXXMVpwoBBIL1,331467,4
4,Life Is For Living,Barclay James Harvest,6OAVhdZQs1KMNH1TfXbFJE,https://open.spotify.com/track/6OAVhdZQs1KMNH1TfXbFJE,0.7,0.565,7,-14.761,1,0.0823,0.468,1.35e-06,0.0724,0.919,103.109,audio_features,spotify:track:6OAVhdZQs1KMNH1TfXbFJE,https://api.spotify.com/v1/tracks/6OAVhdZQs1KMNH1TfXbFJE,https://api.spotify.com/v1/audio-analysis/6OAVhdZQs1KMNH1TfXbFJE,218933,4
5,Stumblin' In,Suzi Quatro,6L1Ay5OhRH2Yz38Aa4QZio,https://open.spotify.com/track/6L1Ay5OhRH2Yz38Aa4QZio,0.758,0.634,7,-13.338,1,0.0324,0.127,0.000431,0.337,0.905,129.29,audio_features,spotify:track:6L1Ay5OhRH2Yz38Aa4QZio,https://api.spotify.com/v1/tracks/6L1Ay5OhRH2Yz38Aa4QZio,https://api.spotify.com/v1/audio-analysis/6L1Ay5OhRH2Yz38Aa4QZio,239240,4
6,Too Late For Goodbyes,Julian Lennon,2SPU97neddixGZ3wCMLAwx,https://open.spotify.com/track/2SPU97neddixGZ3wCMLAwx,0.867,0.743,11,-8.229,0,0.0325,0.16,0.00365,0.0451,0.969,122.42,audio_features,spotify:track:2SPU97neddixGZ3wCMLAwx,https://api.spotify.com/v1/tracks/2SPU97neddixGZ3wCMLAwx,https://api.spotify.com/v1/audio-analysis/2SPU97neddixGZ3wCMLAwx,214645,4
7,Killer Queen - Remastered 2011,Queen,1CnN9udhDokm7lARZjMji2,https://open.spotify.com/track/1CnN9udhDokm7lARZjMji2,0.535,0.651,10,-6.326,1,0.0544,0.391,0.0,0.133,0.612,117.218,audio_features,spotify:track:1CnN9udhDokm7lARZjMji2,https://api.spotify.com/v1/tracks/1CnN9udhDokm7lARZjMji2,https://api.spotify.com/v1/audio-analysis/1CnN9udhDokm7lARZjMji2,179600,4
8,The One I Love - Remastered 2012,R.E.M.,2fdfsGuqb6SBX5ocoBWHUd,https://open.spotify.com/track/2fdfsGuqb6SBX5ocoBWHUd,0.488,0.84,2,-4.626,1,0.0356,0.000395,1.21e-06,0.346,0.559,127.862,audio_features,spotify:track:2fdfsGuqb6SBX5ocoBWHUd,https://api.spotify.com/v1/tracks/2fdfsGuqb6SBX5ocoBWHUd,https://api.spotify.com/v1/audio-analysis/2fdfsGuqb6SBX5ocoBWHUd,197800,4
9,When the Rain Begins to Fall,Jermaine Jackson,030RDC2ayPOUM32F9IH7eE,https://open.spotify.com/track/030RDC2ayPOUM32F9IH7eE,0.687,0.847,0,-7.273,0,0.0326,0.0207,1.89e-06,0.126,0.764,152.892,audio_features,spotify:track:030RDC2ayPOUM32F9IH7eE,https://api.spotify.com/v1/tracks/030RDC2ayPOUM32F9IH7eE,https://api.spotify.com/v1/audio-analysis/030RDC2ayPOUM32F9IH7eE,243800,4
10,Tainted Love,Soft Cell,0cGG2EouYCEEC3xfa0tDFV,https://open.spotify.com/track/0cGG2EouYCEEC3xfa0tDFV,0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,audio_features,spotify:track:0cGG2EouYCEEC3xfa0tDFV,https://api.spotify.com/v1/tracks/0cGG2EouYCEEC3xfa0tDFV,https://api.spotify.com/v1/audio-analysis/0cGG2EouYCEEC3xfa0tDFV,153800,4
11,School,Supertramp,2pNtf9j22cPJ2M8nkE5X1e,https://open.spotify.com/track/2pNtf9j22cPJ2M8nkE5X1e,0.343,0.678,4,-9.599,0,0.0755,0.352,0.0623,0.0798,0.0467,91.47,audio_features,spotify:track:2pNtf9j22cPJ2M8nkE5X1e,https://api.spotify.com/v1/tracks/2pNtf9j22cPJ2M8nkE5X1e,https://api.spotify.com/v1/audio-analysis/2pNtf9j22cPJ2M8nkE5X1e,334307,4
