,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,Rock And Roll Part II,Gary Glitter,63W11KVHDOpSlh3XMQ7qMg,https://open.spotify.com/track/63W11KVHDOpSlh3XMQ7qMg,0.752,0.218,11,-15.177,0,0.0653,0.000548,0.788,0.0699,0.552,130.068,audio_features,spotify:track:63W11KVHDOpSlh3XMQ7qMg,https://api.spotify.com/v1/tracks/63W11KVHDOpSlh3XMQ7qMg,https://api.spotify.com/v1/audio-analysis/63W11KVHDOpSlh3XMQ7qMg,180600,4
1,Hold Your Head Up,Argent,3vfIv3pvYlLOa0wKIEuqFn,https://open.spotify.com/track/3vfIv3pvYlLOa0wKIEuqFn,0.502,0.488,7,-12.265,1,0.0261,0.3,0.128,0.319,0.74,89.279,audio_features,spotify:track:3vfIv3pvYlLOa0wKIEuqFn,https://api.spotify.com/v1/tracks/3vfIv3pvYlLOa0wKIEuqFn,https://api.spotify.com/v1/audio-analysis/3vfIv3pvYlLOa0wKIEuqFn,377560,4
2,Brilliant Disguise,Bruce Springsteen,0nqbZ17t9v52SCemAm1QP0,https://open.spotify.com/track/0nqbZ17t9v52SCemAm1QP0,0.703,0.726,9,-12.438,1,0.029,0.152,1.45e-06,0.0319,0.949,126.353,audio_features,spotify:track:0nqbZ17t9v52SCemAm1QP0,https://api.spotify.com/v1/tracks/0nqbZ17t9v52SCemAm1QP0,https://api.spotify.com/v1/audio-analysis/0nqbZ17t9v52SCemAm1QP0,254840,4
3,Feel like Makin' Love - 2015 Remaster,Bad Company,3KPwt1LBpt1jVSHz8GXERo,https://open.spotify.com/track/3KPwt1LBpt1jVSHz8GXERo,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,audio_features,spotify:track:3KPwt1LBpt1jVSHz8GXERo,https://api.spotify.com/v1/tracks/3KPwt1LBpt1jVSHz8GXERo,https://api.spotify.com/v1/audio-analysis/3KPwt1LBpt1jVSHz8GXERo,313840,4
4,For What It's Worth,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,audio_features,spotify:track:1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA,153693,4
5,Listen to Her Heart,Tom Petty and the Heartbreakers,2iW5uc25ziGLlNMqdhFJad,https://open.spotify.com/track/2iW5uc25ziGLlNMqdhFJad,0.481,0.906,9,-3.705,1,0.0349,0.334,0.603,0.043,0.364,127.955,audio_features,spotify:track:2iW5uc25ziGLlNMqdhFJad,https://api.spotify.com/v1/tracks/2iW5uc25ziGLlNMqdhFJad,https://api.spotify.com/v1/audio-analysis/2iW5uc25ziGLlNMqdhFJad,184960,4
6,Safe in the Arms of Love,Martina McBride,1nLlyTRxGc8lP1o0zgoHuD,https://open.spotify.com/track/1nLlyTRxGc8lP1o0zgoHuD,0.601,0.857,2,-4.203,1,0.0286,0.286,0.0,0.124,0.641,128.65,audio_features,spotify:track:1nLlyTRxGc8lP1o0zgoHuD,https://api.spotify.com/v1/tracks/1nLlyTRxGc8lP1o0zgoHuD,https://api.spotify.com/v1/audio-analysis/1nLlyTRxGc8lP1o0zgoHuD,194080,4
7,Toes,Zac Brown Band,2Esf7NTKQNCPE4G17QvVCs,https://open.spotify.com/track/2Esf7NTKQNCPE4G17QvVCs,0.801,0.759,11,-5.398,1,0.0378,0.657,0.0,0.0897,0.821,129.971,audio_features,spotify:track:2Esf7NTKQNCPE4G17QvVCs,https://api.spotify.com/v1/tracks/2Esf7NTKQNCPE4G17QvVCs,https://api.spotify.com/v1/audio-analysis/2Esf7NTKQNCPE4G17QvVCs,262773,4
8,Babe,Styx,5W7YROOF6bFfBexY81LFjt,https://open.spotify.com/track/5W7YROOF6bFfBexY81LFjt,0.267,0.204,2,-13.714,1,0.0317,0.527,0.0,0.0924,0.0903,169.486,audio_features,spotify:track:5W7YROOF6bFfBexY81LFjt,https://api.spotify.com/v1/tracks/5W7YROOF6bFfBexY81LFjt,https://api.spotify.com/v1/audio-analysis/5W7YROOF6bFfBexY81LFjt,265973,4
9,Don't You (Forget About Me),Simple Minds,3fH4KjXFYMmljxrcGrbPj9,https://open.spotify.com/track/3fH4KjXFYMmljxrcGrbPj9,0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,audio_features,spotify:track:3fH4KjXFYMmljxrcGrbPj9,https://api.spotify.com/v1/tracks/3fH4KjXFYMmljxrcGrbPj9,https://api.spotify.com/v1/audio-analysis/3fH4KjXFYMmljxrcGrbPj9,263040,4
