,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,Dancing Queen,ABBA,2rgqPSIRAfaO2MGo9smdSX,https://open.spotify.com/track/2rgqPSIRAfaO2MGo9smdSX,0.512,0.933,9,-4.343,1,0.0504,0.177,0.00129,0.573,0.71,100.543,audio_features,spotify:track:2rgqPSIRAfaO2MGo9smdSX,https://api.spotify.com/v1/tracks/2rgqPSIRAfaO2MGo9smdSX,https://api.spotify.com/v1/audio-analysis/2rgqPSIRAfaO2MGo9smdSX,231093,4
1,Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
2,American Boy,Estelle,22UDw8rSfLbUsaAGTXQ4Z8,https://open.spotify.com/track/22UDw8rSfLbUsaAGTXQ4Z8,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932,audio_features,spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,https://api.spotify.com/v1/tracks/22UDw8rSfLbUsaAGTXQ4Z8,https://api.spotify.com/v1/audio-analysis/22UDw8rSfLbUsaAGTXQ4Z8,284733,4
3,California Gurls,Katy Perry,3f7gYMirBEKuc57218BjOY,https://open.spotify.com/track/3f7gYMirBEKuc57218BjOY,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,audio_features,spotify:track:3f7gYMirBEKuc57218BjOY,https://api.spotify.com/v1/tracks/3f7gYMirBEKuc57218BjOY,https://api.spotify.com/v1/audio-analysis/3f7gYMirBEKuc57218BjOY,234653,4
4,Mr. Brightside,The Killers,3n3Ppam7vgaVa1iaRUc9Lp,https://open.spotify.com/track/3n3Ppam7vgaVa1iaRUc9Lp,0.355,0.918,1,-4.36,1,0.0746,0.00119,0.0,0.0971,0.24,148.114,audio_features,spotify:track:3n3Ppam7vgaVa1iaRUc9Lp,https://api.spotify.com/v1/tracks/3n3Ppam7vgaVa1iaRUc9Lp,https://api.spotify.com/v1/audio-analysis/3n3Ppam7vgaVa1iaRUc9Lp,222200,4
5,Gold Digger,Kanye West,3QHPHLAkYV5cQBUYs6rowx,https://open.spotify.com/track/3QHPHLAkYV5cQBUYs6rowx,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,audio_features,spotify:track:3QHPHLAkYV5cQBUYs6rowx,https://api.spotify.com/v1/tracks/3QHPHLAkYV5cQBUYs6rowx,https://api.spotify.com/v1/audio-analysis/3QHPHLAkYV5cQBUYs6rowx,207627,4
6,Party In The U.S.A.,Miley Cyrus,4TZZvblv2yzLIBk2JwJ6Un,https://open.spotify.com/track/4TZZvblv2yzLIBk2JwJ6Un,0.478,0.703,10,-4.665,0,0.066,0.000964,7.55e-05,0.0798,0.483,191.957,audio_features,spotify:track:4TZZvblv2yzLIBk2JwJ6Un,https://api.spotify.com/v1/tracks/4TZZvblv2yzLIBk2JwJ6Un,https://api.spotify.com/v1/audio-analysis/4TZZvblv2yzLIBk2JwJ6Un,202760,4
7,Fireflies,Owl City,1mr3616BzLdhXfJmLmRsO8,https://open.spotify.com/track/1mr3616BzLdhXfJmLmRsO8,0.513,0.661,3,-6.8,1,0.0439,0.0274,0.0,0.118,0.461,180.118,audio_features,spotify:track:1mr3616BzLdhXfJmLmRsO8,https://api.spotify.com/v1/tracks/1mr3616BzLdhXfJmLmRsO8,https://api.spotify.com/v1/audio-analysis/1mr3616BzLdhXfJmLmRsO8,228347,4
8,Grace Kelly,MIKA,4Sqc0kPuZpfI0T2TZBu8JT,https://open.spotify.com/track/4Sqc0kPuZpfI0T2TZBu8JT,0.676,0.824,0,-5.752,1,0.0449,0.0271,0.0152,0.363,0.696,122.221,audio_features,spotify:track:4Sqc0kPuZpfI0T2TZBu8JT,https://api.spotify.com/v1/tracks/4Sqc0kPuZpfI0T2TZBu8JT,https://api.spotify.com/v1/audio-analysis/4Sqc0kPuZpfI0T2TZBu8JT,187733,4
9,Crazy In Love (feat. Jay-Z),Beyoncé,5IVuqXILoxVWvWEPm82Jxr,https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4
