,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,In Da Club,50 Cent,4RY96Asd9IefaL3X4LOLZ8,https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8,0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059,audio_features,spotify:track:4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/audio-analysis/4RY96Asd9IefaL3X4LOLZ8,193467,4
1,Apparently,J. Cole,1HNs07uZxZniPNmniw2GTa,https://open.spotify.com/track/1HNs07uZxZniPNmniw2GTa,0.8,0.543,5,-9.236,1,0.0911,0.564,0.0,0.116,0.534,133.98,audio_features,spotify:track:1HNs07uZxZniPNmniw2GTa,https://api.spotify.com/v1/tracks/1HNs07uZxZniPNmniw2GTa,https://api.spotify.com/v1/audio-analysis/1HNs07uZxZniPNmniw2GTa,293040,4
2,Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott,3SEd8nPd8MpGwk6ZZ8tk2j,https://open.spotify.com/track/3SEd8nPd8MpGwk6ZZ8tk2j,0.823,0.768,11,-6.21,1,0.0819,0.0146,1.03e-06,0.127,0.216,115.021,audio_features,spotify:track:3SEd8nPd8MpGwk6ZZ8tk2j,https://api.spotify.com/v1/tracks/3SEd8nPd8MpGwk6ZZ8tk2j,https://api.spotify.com/v1/audio-analysis/3SEd8nPd8MpGwk6ZZ8tk2j,274320,4
3,A Tale of 2 Citiez,J. Cole,7lL3MvFWFFSD25pBz72Agj,https://open.spotify.com/track/7lL3MvFWFFSD25pBz72Agj,0.559,0.556,6,-7.844,1,0.531,0.553,0.0,0.251,0.362,189.861,audio_features,spotify:track:7lL3MvFWFFSD25pBz72Agj,https://api.spotify.com/v1/tracks/7lL3MvFWFFSD25pBz72Agj,https://api.spotify.com/v1/audio-analysis/7lL3MvFWFFSD25pBz72Agj,269787,4
4,G.O.M.D.,J. Cole,16qYlQ6koFxYVbiJbGHblz,https://open.spotify.com/track/16qYlQ6koFxYVbiJbGHblz,0.89,0.393,4,-10.821,0,0.267,0.331,8.81e-06,0.283,0.304,128.084,audio_features,spotify:track:16qYlQ6koFxYVbiJbGHblz,https://api.spotify.com/v1/tracks/16qYlQ6koFxYVbiJbGHblz,https://api.spotify.com/v1/audio-analysis/16qYlQ6koFxYVbiJbGHblz,301133,4
5,Wet Dreamz,J. Cole,6Ius4TC0L3cN74HT7ENE6e,https://open.spotify.com/track/6Ius4TC0L3cN74HT7ENE6e,0.517,0.705,6,-8.205,0,0.364,0.0751,0.0,0.128,0.584,175.906,audio_features,spotify:track:6Ius4TC0L3cN74HT7ENE6e,https://api.spotify.com/v1/tracks/6Ius4TC0L3cN74HT7ENE6e,https://api.spotify.com/v1/audio-analysis/6Ius4TC0L3cN74HT7ENE6e,239320,4
6,No Role Modelz,J. Cole,62vpWI1CHwFy7tMIcSStl8,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,100.45,audio_features,spotify:track:62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8,292987,4
7,Are U Having Any Fun? (feat. Meghan Tonjes),Hoodie Allen,6FbukFztGTLdIDNLUsnsoK,https://open.spotify.com/track/6FbukFztGTLdIDNLUsnsoK,0.791,0.521,2,-4.822,0,0.132,0.0716,0.0,0.143,0.574,95.993,audio_features,spotify:track:6FbukFztGTLdIDNLUsnsoK,https://api.spotify.com/v1/tracks/6FbukFztGTLdIDNLUsnsoK,https://api.spotify.com/v1/audio-analysis/6FbukFztGTLdIDNLUsnsoK,183053,4
8,Champagne and Pools (feat. Blackbear & Kyle),Hoodie Allen,7HytU9V8vMCUayply0lYBq,https://open.spotify.com/track/7HytU9V8vMCUayply0lYBq,0.61,0.641,9,-4.352,0,0.268,0.519,0.0,0.902,0.852,67.413,audio_features,spotify:track:7HytU9V8vMCUayply0lYBq,https://api.spotify.com/v1/tracks/7HytU9V8vMCUayply0lYBq,https://api.spotify.com/v1/audio-analysis/7HytU9V8vMCUayply0lYBq,214413,4
9,Surprise Party (feat. Blackbear),Hoodie Allen,5UiT4e4DHwZrcVIXojU5um,https://open.spotify.com/track/5UiT4e4DHwZrcVIXojU5um,0.671,0.699,6,-4.224,0,0.0647,0.00453,0.000277,0.173,0.379,72.946,audio_features,spotify:track:5UiT4e4DHwZrcVIXojU5um,https://api.spotify.com/v1/tracks/5UiT4e4DHwZrcVIXojU5um,https://api.spotify.com/v1/audio-analysis/5UiT4e4DHwZrcVIXojU5um,188040,4
