,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,Put Your Lights On (feat. Everlast),Santana,3uRaD26t3RkJ8n549udQ83,https://open.spotify.com/track/3uRaD26t3RkJ8n549udQ83,0.606,0.834,7,-6.101,1,0.0369,0.0155,0.0244,0.133,0.459,143.681,audio_features,spotify:track:3uRaD26t3RkJ8n549udQ83,https://api.spotify.com/v1/tracks/3uRaD26t3RkJ8n549udQ83,https://api.spotify.com/v1/audio-analysis/3uRaD26t3RkJ8n549udQ83,287493,4
1,Sex & Candy,Marcy Playground,5mkGfmJGFZpwK9nA5amOhv,https://open.spotify.com/track/5mkGfmJGFZpwK9nA5amOhv,0.67,0.558,2,-9.159,1,0.0251,0.238,0.0,0.106,0.63,80.511,audio_features,spotify:track:5mkGfmJGFZpwK9nA5amOhv,https://api.spotify.com/v1/tracks/5mkGfmJGFZpwK9nA5amOhv,https://api.spotify.com/v1/audio-analysis/5mkGfmJGFZpwK9nA5amOhv,173493,4
2,Island In The Sun,Weezer,2MLHyLy5z5l5YRp7momlgw,https://open.spotify.com/track/2MLHyLy5z5l5YRp7momlgw,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,audio_features,spotify:track:2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/tracks/2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/audio-analysis/2MLHyLy5z5l5YRp7momlgw,200307,4
3,Laid,James,2CdS3DRqWR5LAhy4hM5X9W,https://open.spotify.com/track/2CdS3DRqWR5LAhy4hM5X9W,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,audio_features,spotify:track:2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/tracks/2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/audio-analysis/2CdS3DRqWR5LAhy4hM5X9W,156667,4
4,Lightning Crashes,Live,48iWbsOaBUAGzMdoSmqyg1,https://open.spotify.com/track/48iWbsOaBUAGzMdoSmqyg1,0.385,0.433,11,-9.256,1,0.0435,0.241,7.07e-06,0.11,0.427,89.974,audio_features,spotify:track:48iWbsOaBUAGzMdoSmqyg1,https://api.spotify.com/v1/tracks/48iWbsOaBUAGzMdoSmqyg1,https://api.spotify.com/v1/audio-analysis/48iWbsOaBUAGzMdoSmqyg1,325600,4
5,One Headlight,The Wallflowers,0z1b34WikhOH9ZxU8QDWcv,https://open.spotify.com/track/0z1b34WikhOH9ZxU8QDWcv,0.701,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,audio_features,spotify:track:0z1b34WikhOH9ZxU8QDWcv,https://api.spotify.com/v1/tracks/0z1b34WikhOH9ZxU8QDWcv,https://api.spotify.com/v1/audio-analysis/0z1b34WikhOH9ZxU8QDWcv,312627,4
6,3AM,Matchbox Twenty,5vYA1mW9g2Coh1HUFUSmlb,https://open.spotify.com/track/5vYA1mW9g2Coh1HUFUSmlb,0.521,0.673,8,-8.685,1,0.0284,0.00573,0.0,0.12,0.543,108.031,audio_features,spotify:track:5vYA1mW9g2Coh1HUFUSmlb,https://api.spotify.com/v1/tracks/5vYA1mW9g2Coh1HUFUSmlb,https://api.spotify.com/v1/audio-analysis/5vYA1mW9g2Coh1HUFUSmlb,225947,4
7,What It's Like,Everlast,7pMVB2oz4Q4SlfTvvevNro,https://open.spotify.com/track/7pMVB2oz4Q4SlfTvvevNro,0.678,0.556,0,-7.423,1,0.0281,0.0904,0.0334,0.0866,0.405,85.158,audio_features,spotify:track:7pMVB2oz4Q4SlfTvvevNro,https://api.spotify.com/v1/tracks/7pMVB2oz4Q4SlfTvvevNro,https://api.spotify.com/v1/audio-analysis/7pMVB2oz4Q4SlfTvvevNro,303133,4
8,Short Skirt / Long Jacket,CAKE,3OOFEF20WqtsUPcRbPY3L7,https://open.spotify.com/track/3OOFEF20WqtsUPcRbPY3L7,0.778,0.899,2,-6.552,1,0.0451,0.0028,0.0345,0.0263,0.881,119.995,audio_features,spotify:track:3OOFEF20WqtsUPcRbPY3L7,https://api.spotify.com/v1/tracks/3OOFEF20WqtsUPcRbPY3L7,https://api.spotify.com/v1/audio-analysis/3OOFEF20WqtsUPcRbPY3L7,204133,4
9,Big Yellow Taxi,Counting Crows,4O4dhPrjcw7GSLNafNydmb,https://open.spotify.com/track/4O4dhPrjcw7GSLNafNydmb,0.678,0.866,1,-4.341,1,0.048,0.00295,0.0,0.16,0.842,88.041,audio_features,spotify:track:4O4dhPrjcw7GSLNafNydmb,https://api.spotify.com/v1/tracks/4O4dhPrjcw7GSLNafNydmb,https://api.spotify.com/v1/audio-analysis/4O4dhPrjcw7GSLNafNydmb,225573,4
